candidate_id,response_delay_hours,number_of_active_offers,past_job_switches,avg_tenure_months,notice_period_days,salary_expectation_lpa,salary_offered_lpa,salary_hike_percent,interview_sentiment,communication_score,technical_score,background_verified,joined
1,11.262434159444618,2,5,35,0,13.907110174146295,13.246590369279907,-4.749511556285161,0.5757685815522844,63,56,1,1
2,72.2429143420205,1,0,41,60,19.62110504260597,22.89703394546471,16.695944982432295,0.5509622214187242,88,65,1,1
3,31.601896645090783,2,5,39,60,6.940823856551395,8.715138818134207,25.563463333074626,0.960107039168562,72,77,1,0
4,21.910621290622878,1,4,21,15,18.08511003984801,19.354913684527805,7.02126579203532,0.5521861089347361,62,53,1,1
5,4.070996891096311,1,5,29,0,8.962846369798616,9.549076947665862,6.540674175143961,0.8462320881248673,48,92,1,1
6,4.070311005950524,0,4,19,60,13.205998839959562,14.22475348499251,7.714332383176757,0.3198202868008465,37,53,1,0
7,1.4361304466083362,0,2,31,30,4.3541202717241925,4.061996927346312,-6.709124372951736,0.4381006887910489,60,51,1,1
8,48.26954074751855,1,4,13,60,7.183823396539997,9.028702718129768,25.68102276119894,0.4704134760448099,40,44,1,1
9,22.057971687054348,1,3,19,15,5.933690355596015,7.403306110936605,24.767314559220427,0.2787280433353797,37,76,1,1
10,29.55000148091017,0,4,36,60,9.034627631703428,11.737460521565465,29.916372871611465,0.37979026147795525,54,43,1,1
11,0.49918339197932693,1,3,7,0,6.100379890510768,6.918277688924826,13.40732565993654,0.5985130794667752,49,94,1,1
12,84.0853794037995,0,5,9,0,18.5301105590108,22.244965132889092,20.047665458055437,0.5801877633045324,67,68,0,0
13,42.8743090405122,1,5,6,90,4.609837946393607,4.522568009499584,-1.8931237477077982,0.6364353445734805,36,64,0,1
14,5.728503005974728,0,5,25,0,16.972550513124958,19.807162096322994,16.701152728966793,0.35181791542014107,68,84,1,0
15,4.8162957299919205,0,4,19,90,6.9548644473370596,8.066899558639275,15.989313950295625,0.3158314951530571,49,43,1,1
16,4.862674147974169,2,5,45,30,23.848390600735836,30.060502718720706,26.04834943366449,0.6116178827541631,40,89,1,0
17,8.706089507051452,1,4,30,15,23.59497553530694,29.076491569895843,23.231708913562965,0.13286174842752496,45,55,1,1
18,17.854267940660506,0,4,30,30,8.735565152940215,11.141222608864915,27.53865850471054,0.25303154353213997,71,89,1,1
19,13.572889602728079,1,1,8,90,16.90284726268362,21.086866330728164,24.753338908064297,0.04212773695299521,81,41,1,1
20,8.261351821294596,0,1,10,60,4.588111708921627,5.7235663902911265,24.74775579595408,0.07261085259608013,66,62,1,1
21,22.71290097359517,0,4,43,60,23.567559404074657,21.81152477853184,-7.4510669324512735,0.24338327926060888,81,43,1,0
22,3.605628689456128,0,3,31,30,14.982733472025904,18.554389110710552,23.838478107838245,0.019529280296919027,38,59,1,1
23,8.292372288057654,1,2,45,60,4.907686179773359,5.609442890281567,14.29913578012472,0.24541059208746152,64,56,1,1
24,10.95065323730033,1,0,43,90,11.192499853170885,11.776499656065877,5.217778070638455,0.654976323062026,96,91,1,1
25,14.6144325086346,1,1,43,15,5.613838699085918,5.17936042335893,-7.739415024477508,0.06110707846893304,36,45,1,1
26,36.91046426474189,0,4,9,0,12.251833226840557,14.34774833242115,17.106950990721877,0.436736677794641,31,57,1,1
27,5.3456606910885665,2,0,12,90,18.068453185387785,18.633647052829513,3.1280700215047093,0.9131087869195494,54,59,1,1
28,17.328699720795065,0,1,35,90,13.867688068870232,15.075709393522214,8.71105059944139,0.791284828925401,70,98,1,1
29,21.540113311434254,0,2,35,0,12.058165669108543,14.140506876338987,17.269137482205373,0.3054375022948572,81,78,1,1
30,1.1415323941538051,0,3,24,0,6.502297956349761,8.223520070221511,26.470981880965734,0.924805479191647,94,84,1,1
31,22.447992495590643,0,4,44,15,9.143719959566782,11.248373563842371,23.017476624199944,0.32964649674772484,67,80,1,1
32,4.487070047457994,1,2,40,15,6.103009042505374,6.592707479633329,8.023885164144005,0.07251549633756249,96,73,1,1
33,1.6143343411033018,0,1,45,15,20.957473364789877,22.11250810570953,5.511326297855152,0.9940559567681135,71,79,1,1
34,71.36850704416634,2,4,38,60,6.840036387679174,6.812073604399854,-0.40881044623809387,0.8700225271891717,83,85,1,1
35,80.89512821906814,0,0,38,90,16.502840697526764,17.310996366235862,4.8970700470387145,0.46593278330109233,96,93,1,1
36,39.65595774750904,0,5,19,0,11.197548685365764,10.575172748043192,-5.558144508324071,0.6663765241924039,93,63,1,1
37,8.718908639250198,1,3,43,90,8.745546077758853,11.268130657890726,28.844220334590187,0.6712280778566702,33,57,1,0
38,2.4666555600601496,0,1,15,90,17.428837229334178,19.687038991939566,12.956697758383143,0.19448223073046034,60,69,1,1
39,27.666018314367882,1,3,33,15,13.597048496915754,12.932456544294459,-4.887766288191486,0.2000486331536323,42,98,1,1
40,13.92218022204956,1,4,19,15,12.403054812975741,12.913098240187068,4.11224037063622,0.4695807033518258,56,40,1,1
41,3.1236536149067673,0,5,41,90,16.449892102736655,18.40439684787629,11.88156574482623,0.911573140137698,88,62,0,1
42,16.405133475219603,1,2,43,15,14.316620198290016,15.936606686025536,11.315425465634775,0.00999377485857078,94,68,1,1
43,0.839849314643498,2,3,21,60,10.373168379582776,9.483164510328812,-8.579865251254704,0.7825056359493593,93,80,1,1
44,57.61014929743257,0,0,26,0,15.740287043070285,20.15286266320167,28.033641369164457,0.05752678371465414,54,80,1,1
45,7.186986644176466,0,1,33,90,18.059470107564586,18.24277865198692,1.0150272589977731,0.47822211488311783,66,71,1,1
46,26.070139165559528,3,0,38,0,4.56055633032394,4.134025135032159,-9.352613242724356,0.6378728330734764,43,41,1,0
47,8.965117959782969,0,3,11,60,13.783306307061183,12.826436152635653,-6.942239641988703,0.6867592670824648,53,87,1,1
48,17.618661501821485,3,5,46,15,5.211348976254419,5.899653324656727,13.207796129919073,0.05847926361591138,96,75,1,1
49,18.98937115156314,1,2,20,30,7.914513695430332,7.559264482053321,-4.488579172996124,0.41860361738396823,77,84,1,1
50,4.905326388189738,1,2,8,60,15.770683415637436,14.456826473543954,-8.33100828585986,0.5838372605023247,94,56,1,1
51,83.82737118566943,0,0,40,30,22.189967220577195,23.34053003682412,5.185058656508448,0.06604553730600693,67,82,1,1
52,35.81388905131538,1,4,19,0,22.53891926295818,25.899573030365996,14.910447693607546,0.13509455659530978,99,94,1,1
53,67.32226606299798,1,4,7,90,5.468824212911256,5.166594684694163,-5.526407806335501,0.6636489895040385,88,41,1,0
54,54.051647940820715,0,5,34,15,12.801206812020839,13.12547588255121,2.533113286052612,0.5216381965906517,41,43,1,1
55,21.8653058971986,1,2,9,60,16.243136143095576,17.33311991455741,6.710426864981682,0.16182866126829054,83,83,1,1
56,61.18644910246572,2,0,31,15,7.088467995557211,6.83175231589346,-3.6215960885293073,0.5352393369147335,80,73,1,0
57,2.223731014874775,0,0,17,30,20.074076551640207,22.13025536791928,10.242955938668404,0.9126923734444158,67,40,1,1
58,5.235232671150419,0,0,7,30,19.628940427182016,18.335111278604444,-6.591436523929161,0.015587584775363927,75,62,1,1
59,1.1107671764839668,0,3,22,90,22.97016128784269,21.10056010462408,-8.139260146197252,0.6426337734858546,39,45,1,0
60,9.444770083274083,2,5,40,30,4.178206253752303,4.629177381164756,10.793414686205388,0.07365043460534193,38,55,0,1
61,11.811127003061246,0,4,15,90,8.550369123769055,8.543176460066112,-0.08412108996497412,0.006449442964700847,81,41,1,1
62,7.597450637011817,0,4,27,60,21.370920999151757,20.049119344827393,-6.185047684078887,0.1506544886606338,80,85,1,1
63,42.349388765782415,1,3,46,90,18.082181067365646,19.34006862610382,6.9565034995053,0.4229066318539193,51,91,1,1
64,10.589447988716884,1,1,26,30,22.782186927668306,28.843531192025434,26.60562958069579,0.802343998981953,97,51,1,1
65,7.915268163221981,1,3,20,0,5.2007727451355965,6.187239606138834,18.967697866166198,0.28178549660455865,34,66,1,1
66,18.777769996985903,1,5,40,90,16.536243280045298,20.27750823174288,22.624636613881094,0.6256732123887586,58,58,1,0
67,3.6455555476950927,0,0,26,15,15.949978072767157,19.917783866306124,24.87655955034547,0.41115663795530666,35,67,0,0
68,38.89160629859355,2,3,26,0,4.74916274357118,6.121913442335525,28.90510965585676,0.23433179196600795,98,74,1,1
69,1.8594208514714161,0,0,26,90,14.783963615162154,17.81909108253823,20.529862940566936,0.5142471142828586,87,90,1,1
70,104.01951215009566,0,5,37,15,16.79992653750841,19.20841724112613,14.336316877579186,0.7974644903726232,72,82,1,0
71,35.507610629796275,0,5,10,0,8.017156658244252,8.387311604163799,4.6170352120898945,0.8324923700561442,98,43,1,1
72,5.316946572141263,0,2,44,90,9.739921245617921,9.47360544860465,-2.7342705376913576,0.8465195318772367,66,88,1,1
73,0.1328980890224514,0,0,14,60,17.447294272252478,20.494707599560968,17.466394959331787,0.3385578125549794,87,88,1,1
74,40.55752265966702,1,4,23,15,13.834319899599125,17.956670466484276,29.797999444877693,0.793456064715753,66,46,1,1
75,29.45030177728907,1,3,26,60,22.018286808934864,23.932633152275734,8.694347384756759,0.21217845510890787,55,76,1,1
76,31.335909810911975,0,5,13,30,11.190017086192956,13.310209175127195,18.947174723712294,0.7384251012428833,71,90,1,0
77,35.40514862504432,5,0,39,90,9.599852826152224,10.540993405646374,9.80369799972625,0.9483844262726167,45,64,0,1
78,1.8463023723311123,0,1,15,90,24.6821847472417,26.478390494103888,7.2773369345390675,0.01374383469095719,51,92,1,1
79,10.65342413798958,2,2,46,15,23.133851172731752,24.617245655231162,6.412224542396603,0.440363931178798,52,97,1,1
80,2.955602510506792,1,1,29,90,4.608847644978577,5.0782581930918465,10.184987317267922,0.6477709884140046,76,90,1,1
